" ","patent_parties","patents_granted","inventors","owners","applicants","emp_patenting_ind","wages_paid_patenting_ind","exports_all_countries","exports_united_states","exports_china","exports_mexico","exports_united_kingdom","exports_japan","exports_germany","exports_south_korea","exports_italy","exports_france","exports_netherlands","exports_belgium","exports_spain","exports_hong_kong","exports_brazil","exports_algeria","exports_norway","exports_india","exports_switzerland","exports_saudi_arabia","exports_turkiye","exports_taiwan","exports_peru","exports_australia","exports_iraq","exports_indonesia","exports_singapore","exports_russian_federation","exports_other_countries","imports_all_countries","imports_united_states","imports_china","imports_mexico","imports_united_kingdom","imports_japan","imports_germany","imports_south_korea","imports_italy","imports_france","imports_netherlands","imports_belgium","imports_spain","imports_hong_kong","imports_brazil","imports_algeria","imports_norway","imports_india","imports_switzerland","imports_saudi_arabia","imports_turkiye","imports_taiwan","imports_peru","imports_australia","imports_iraq","imports_indonesia","imports_singapore","imports_russian_federation","imports_other_countries","total_pop","total_emp","total_full_emp","total_part_emp","total_unem","total_emp_rate","total_wage","total_wage_males","total_wage_females","total_avg_wage","total_median_wage","total_usual_hours","total_actual_hours","total_avg_tenure","total_bankruptcies","total_insolvencies","emp_males","emp_females","emp_goods","emp_agriculture","emp_natural_resources","emp_utilities","emp_construction","emp_manufacturing","emp_services","emp_wholesale_and_retail","emp_transportation","emp_finance","emp_business","emp_professional","emp_education","emp_healthcare","emp_media","emp_food","emp_other","emp_public","avg_wage_males","avg_wage_females","median_wage_males","median_wage_females","median_wage_goods","median_wage_agriculture","median_wage_natural_resources","median_wage_utilities","median_wage_construction","median_wage_manufacturing","median_wage_services","median_wage_wholesale_and_retail","median_wage_transportation","median_wage_finance","median_wage_business","median_wage_professional","median_wage_education","median_wage_healthcare","median_wage_media","median_wage_food","median_wage_other","median_wage_public","new_housing_price_index","wages_paid_goods","wages_paid_agriculture","wages_paid_natural_resources","wages_paid_utilities","wages_paid_construction","wages_paid_manufacturing","wages_paid_services","wages_paid_wholesale_and_retail","wages_paid_transportation","wages_paid_finance","wages_paid_business","wages_paid_professional","wages_paid_education","wages_paid_healthcare","wages_paid_media","wages_paid_food","wages_paid_other","wages_paid_public","average_usual_hours","average_usual_hours_males","average_usual_hours_females","average_actual_hours","average_actual_hours_males","average_actual_hours_females","retail_sales","wholesale_sales","manufacturing_sales"
"exports_other_countries",".61",".72",".70",".46",".66",".77",".78",".77",".71",".54",".84",".56",".32",".72",".34",".59",".73",".60",".75",".50",".46",".58",".26",".53",".48",".55",".42",".52",".31",".53",".74",".24",".47",".69",".59","1",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"imports_all_countries",".79",".85",".86",".64",".83",".91",".91",".90",".87",".25",".84",".89",".24",".78",".27",".61",".52",".45",".61",".27",".67",".26","-.08",".85",".18",".51",".61",".23",".33",".21",".75",".13",".04",".62",".51",".68","1",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"imports_united_states",".81",".82",".85",".69",".83",".88",".88",".89",".88",".19",".80",".85",".19",".70",".21",".54",".44",".37",".54",".20",".64",".23","-.06",".84",".14",".47",".57",".17",".28",".21",".72",".13",".04",".56",".47",".62",".98","1",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"imports_china",".60",".82",".73",".40",".67",".81",".81",".78",".72",".41",".82",".89",".38",".78",".42",".64",".49",".47",".61",".27",".67",".25","-.09",".79",".27",".49",".63",".28",".44",".22",".72",".14",".09",".63",".48",".67",".92",".85","1",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"imports_mexico",".66",".83",".76",".49",".72",".80",".80",".83",".80",".22",".83",".93",".19",".71",".20",".59",".40",".36",".54",".18",".70",".21","-.07",".85",".15",".45",".65",".18",".26",".21",".66",".14",".03",".56",".44",".61",".96",".94",".93","1",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"imports_united_kingdom",".71",".60",".72",".65",".71",".78",".79",".62",".61",".10",".54",".49",".06",".70",".13",".44",".74",".56",".57",".46",".36",".29","-.06",".47",".13",".48",".31",".29",".15",".09",".62",".07","-.03",".57",".55",".62",".62",".56",".52",".49","1",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"imports_japan",".75",".76",".79",".64",".77",".83",".83",".80",".77",".23",".70",".81",".42",".67",".37",".57",".38",".35",".52",".16",".62",".22","-.10",".79",".17",".43",".53",".18",".44",".14",".70",".08",".03",".50",".42",".55",".92",".91",".85",".89",".49","1",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"imports_germany",".67",".80",".77",".50",".72",".85",".85",".79",".76",".23",".82",".83",".14",".80",".21",".58",".62",".49",".64",".36",".64",".25","-.09",".77",".17",".53",".59",".27",".23",".18",".70",".13",".02",".66",".52",".69",".91",".85",".87",".88",".68",".78","1",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"imports_south_korea",".66",".72",".75",".49",".71",".74",".74",".72",".67",".27",".70",".81",".34",".69",".33",".58",".37",".35",".51",".17",".63",".19","-.09",".75",".19",".40",".58",".19",".38",".15",".62",".11",".04",".50",".39",".54",".86",".81",".86",".86",".44",".84",".77","1",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"imports_italy",".73",".83",".83",".55",".78",".92",".92",".85",".80",".32",".86",".79",".25",".89",".32",".64",".72",".60",".73",".46",".61",".29","-.06",".74",".24",".58",".58",".35",".33",".23",".78",".15",".08",".74",".56",".79",".91",".85",".89",".85",".72",".78",".92",".77","1",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"imports_france",".69",".67",".74",".57",".71",".83",".83",".67",".64",".23",".67",".53",".16",".78",".25",".51",".82",".64",".70",".55",".42",".31","-.05",".50",".21",".56",".37",".37",".23",".16",".69",".10",".04",".69",".58",".74",".68",".60",".63",".56",".82",".53",".74",".51",".84","1",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"imports_netherlands",".49",".58",".58",".34",".52",".69",".69",".57",".53",".26",".64",".44",".15",".71",".24",".45",".76",".60",".65",".54",".35",".27","-.04",".43",".22",".53",".35",".40",".21",".17",".61",".11",".08",".65",".57",".69",".58",".49",".58",".47",".64",".43",".68",".44",".76",".78","1",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"imports_belgium",".45",".56",".54",".31",".49",".62",".62",".57",".54",".17",".62",".61",".10",".67",".15",".52",".50",".40",".52",".32",".49",".17","-.08",".55",".12",".37",".53",".23",".16",".11",".51",".09","-.01",".49",".38",".53",".68",".61",".69",".65",".55",".55",".76",".58",".72",".59",".57","1",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"imports_spain",".63",".75",".74",".44",".68",".82",".83",".74",".69",".27",".81",".74",".18",".88",".26",".61",".74",".62",".73",".50",".56",".28","-.04",".67",".22",".57",".57",".37",".26",".21",".70",".14",".07",".72",".52",".76",".82",".73",".82",".76",".69",".67",".86",".70",".94",".82",".78",".70","1",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"imports_hong_kong",".76",".47",".68",".79",".73",".71",".71",".64",".66",".07",".36",".41",".26",".47",".24",".31",".35",".27",".33",".15",".30",".14","-.09",".48",".07",".30",".24",".08",".33",".02",".52",".00","-.03",".33",".27",".36",".64",".69",".43",".49",".53",".68",".49",".49",".54",".49",".31",".33",".42","1",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"imports_brazil",".56",".64",".66",".40",".60",".76",".77",".66",".62",".26",".72",".59",".16",".82",".25",".56",".76",".63",".71",".55",".43",".29","-.04",".56",".22",".55",".46",".40",".23",".18",".66",".14",".08",".68",".52",".74",".71",".62",".72",".61",".68",".54",".77",".57",".87",".81",".80",".65",".88",".40","1",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"imports_algeria",".22",".15",".21",".22",".20",".28",".28",".11",".09","-.01",".08",".03","-.03",".30","-.01",".20",".44",".35",".22",".30",".00",".20",".00",".01",".07",".09",".05",".23",".00","-.01",".21",".01","-.01",".18",".44",".27",".08",".00",".06","-.01",".58",".00",".16",".00",".21",".42",".36",".20",".24",".06",".30","1",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"imports_norway",".10",".05",".09",".12",".08",".15",".15",".03",".03","-.14",".00",".02","-.14",".18","-.08",".09",".27",".23",".12",".19","-.02",".07","-.09","-.01","-.03",".09",".02",".10","-.09","-.11",".06","-.05","-.10",".09",".16",".09",".04","-.02",".01","-.02",".40","-.04",".10","-.03",".14",".29",".24",".12",".17",".05",".20",".50","1",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"imports_india",".63",".81",".75",".43",".70",".84",".84",".81",".75",".38",".85",".84",".31",".84",".37",".64",".58",".52",".66",".35",".65",".26","-.07",".77",".27",".51",".64",".30",".38",".23",".73",".16",".10",".68",".50",".73",".91",".84",".96",".90",".59",".80",".90",".83",".94",".72",".66",".72",".89",".45",".80",".10",".06","1",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"imports_switzerland",".64",".81",".75",".47",".70",".80",".81",".80",".76",".20",".83",".92",".16",".79",".18",".62",".50",".42",".60",".26",".67",".23","-.06",".84",".15",".49",".64",".22",".23",".20",".67",".15",".04",".60",".47",".64",".94",".89",".93",".95",".55",".83",".89",".84",".88",".63",".55",".68",".83",".47",".71",".05",".03",".92","1",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"imports_saudi_arabia","-.19","-.14","-.19","-.17","-.20","-.15","-.15","-.14","-.12","-.19","-.15","-.08","-.19","-.12","-.15","-.14","-.13","-.10","-.12","-.08","-.07","-.10","-.11","-.07","-.08","-.08","-.05","-.01","-.17","-.15","-.17","-.07","-.10","-.13","-.13","-.18","-.09","-.10","-.11","-.08","-.08","-.12","-.14","-.10","-.12","-.12","-.06","-.08","-.07","-.12","-.04","-.04",".31","-.11","-.08","1",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"imports_turkiye",".54",".73",".67",".34",".61",".77",".77",".71",".65",".33",".79",".73",".22",".79",".30",".59",".66",".56",".70",".44",".57",".26","-.05",".66",".24",".56",".51",".35",".28",".22",".67",".16",".09",".68",".49",".73",".80",".71",".85",".77",".58",".66",".84",".70",".90",".74",".72",".68",".87",".34",".83",".13",".10",".89",".81","-.09","1",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"imports_taiwan",".79",".80",".85",".66",".83",".92",".91",".86",".82",".37",".74",".79",".43",".77",".46",".57",".52",".47",".59",".27",".62",".26","-.11",".77",".26",".51",".53",".25",".52",".18",".78",".11",".07",".62",".48",".66",".94",".92",".89",".87",".61",".91",".84",".83",".88",".67",".58",".62",".77",".72",".70",".09",".03",".88",".85","-.14",".77","1",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"imports_peru",".55",".68",".65",".38",".60",".67",".67",".64",".59",".18",".67",".86",".18",".67",".20",".52",".38",".36",".44",".18",".61",".22","-.07",".80",".16",".45",".57",".16",".24",".15",".58",".10",".03",".48",".43",".52",".80",".74",".83",".82",".44",".72",".74",".76",".72",".48",".43",".56",".69",".35",".60",".04",".05",".79",".85",".00",".68",".73","1",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"imports_australia",".57",".55",".61",".47",".59",".70",".70",".55",".49",".52",".43",".43",".58",".59",".66",".42",".50",".48",".44",".29",".35",".25","-.12",".39",".40",".40",".28",".29",".65",".11",".63",".04",".11",".49",".39",".52",".56",".48",".62",".46",".58",".58",".53",".53",".63",".61",".49",".40",".55",".49",".51",".32",".19",".62",".48","-.14",".54",".69",".43","1",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"imports_iraq","-.09","-.12","-.09","-.08","-.09","-.13","-.13","-.12","-.11","-.08","-.13","-.05","-.13","-.01","-.11",".00","-.02",".02","-.13","-.02","-.06","-.10","-.07","-.06","-.10","-.06","-.05","-.04","-.08","-.12","-.12","-.05","-.12","-.10","-.04","-.10","-.09","-.09","-.09","-.07","-.09","-.10","-.12","-.08","-.10","-.10","-.09","-.08","-.09","-.09","-.08","-.03","-.04","-.10","-.07","-.01","-.08","-.11","-.06","-.11","1",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"imports_indonesia",".72",".80",".81",".56",".77",".90",".90",".81",".76",".38",".77",".80",".39",".82",".44",".61",".59",".51",".64",".33",".63",".27","-.12",".74",".27",".52",".58",".30",".47",".17",".77",".11",".06",".65",".52",".69",".93",".87",".92",".87",".65",".87",".91",".82",".92",".73",".66",".70",".84",".61",".76",".16",".07",".93",".87","-.14",".82",".94",".73",".69","-.12","1",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"imports_singapore",".78",".66",".78",".72",".78",".82",".82",".75",".74",".23",".58",".57",".26",".63",".31",".43",".50",".43",".49",".26",".44",".25","-.06",".65",".19",".44",".37",".23",".35",".13",".68",".07",".03",".51",".52",".57",".78",".78",".63",".65",".61",".74",".67",".60",".71",".61",".52",".48",".61",".72",".59",".23",".07",".64",".64","-.12",".55",".80",".52",".58","-.08",".75","1",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"imports_russian_federation",".42",".34",".48",".32",".43",".45",".45",".36",".33",".13",".38",".31",".05",".57",".12",".33",".54",".49",".43",".42",".22",".15","-.04",".29",".10",".36",".23",".27",".12",".05",".41",".07","-.03",".41",".33",".47",".38",".31",".38",".31",".50",".26",".44",".30",".52",".54",".50",".41",".54",".19",".60",".35",".21",".45",".38","-.09",".51",".38",".31",".32",".10",".44",".34","1",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"imports_other_countries",".73",".83",".83",".55",".78",".91",".91",".83",".78",".30",".82",".84",".25",".88",".33",".64",".67",".57",".68",".39",".63",".29","-.10",".78",".25",".55",".61",".33",".35",".18",".77",".13",".05",".69",".57",".74",".94",".86",".93",".88",".73",".82",".94",".81",".96",".80",".72",".74",".91",".54",".84",".26",".17",".95",".91","-.06",".87",".91",".78",".65","-.10",".95",".74",".50","1",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"total_pop",".81",".83",".84",".73",".85","1.00","1.00",".92",".89",".37",".81",".76",".38",".82",".41",".60",".69",".58",".67",".40",".59",".32","-.07",".74",".24",".58",".51",".31",".44",".24",".85",".15",".09",".73",".61",".78",".92",".88",".85",".82",".77",".84",".86",".76",".93",".82",".69",".64",".84",".69",".77",".26",".14",".87",".83","-.15",".79",".93",".70",".71","-.13",".92",".81",".45",".93","1",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"total_emp",".82",".84",".85",".74",".86","1.00","1.00",".93",".90",".38",".82",".75",".38",".81",".41",".59",".69",".57",".67",".39",".59",".32","-.06",".74",".24",".58",".51",".31",".45",".25",".85",".16",".10",".73",".62",".78",".92",".88",".84",".82",".75",".84",".86",".76",".92",".81",".68",".63",".83",".69",".76",".25",".12",".86",".82","-.16",".78",".92",".69",".70","-.14",".91",".81",".44",".92","1.00","1",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"total_full_emp",".82",".83",".84",".73",".86","1.00","1.00",".93",".91",".37",".82",".75",".37",".81",".40",".59",".69",".57",".67",".39",".59",".32","-.06",".74",".24",".58",".51",".31",".44",".25",".85",".16",".10",".73",".62",".78",".92",".88",".84",".82",".76",".84",".86",".76",".92",".81",".68",".63",".83",".69",".76",".25",".13",".86",".82","-.15",".78",".92",".69",".70","-.14",".91",".81",".44",".92","1.00","1.00","1",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"total_part_emp",".85",".85",".88",".75",".86",".98",".99",".91",".88",".40",".81",".74",".42",".80",".45",".59",".68",".57",".66",".38",".59",".33","-.07",".73",".26",".58",".49",".32",".48",".25",".85",".15",".11",".72",".62",".78",".91",".87",".84",".81",".74",".85",".85",".76",".91",".80",".68",".62",".81",".68",".75",".25",".12",".85",".81","-.17",".77",".93",".69",".72","-.14",".91",".81",".43",".91",".99",".99",".99","1",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
